URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.cqgc.ferlab.bio/CodeSystem/analysis-request-code,0.1.0,draft,,analysis-request-code,Analysis request code,"Gene panel requested for analysis","ValueSet/analysis-request-code,ValueSet/sequencing-request-code"
http://fhir.cqgc.ferlab.bio/CodeSystem/bioinfo-analysis-code,0.1.0,draft,,bioinfo-analysis-code,Bioinformatic analysis codes,"Bioinformatic analysis code system","ValueSet/bioinfo-analysis-code"
http://fhir.cqgc.ferlab.bio/CodeSystem/cgh-abnormalities,0.1.0,draft,,cgh-abnormalities,CGH abnormalities,"CGH abnormalities","ValueSet/cgh-abnormalities"
http://fhir.cqgc.ferlab.bio/CodeSystem/data-category,0.1.0,draft,,data-category,Data categories,"Data categories","ValueSet/data-category"
http://fhir.cqgc.ferlab.bio/CodeSystem/data-type,0.1.0,draft,,data-type,Data types,"Data types","ValueSet/data-type"
http://fhir.cqgc.ferlab.bio/CodeSystem/disease-status,0.1.0,draft,,disease-status,Disease status,"Disease status","ValueSet/disease-status"
http://fhir.cqgc.ferlab.bio/CodeSystem/document-format,0.1.0,draft,,document-format,Document formats,"Document formats","ValueSet/document-format"
http://fhir.cqgc.ferlab.bio/CodeSystem/experimental-strategy,0.1.0,draft,,experimental-strategy,Experimental strategies,"Experimental strategies","ValueSet/experimental-strategy"
http://fhir.cqgc.ferlab.bio/CodeSystem/fmh-relationship-plus,0.1.0,draft,,fmh-relationship-plus,FMH relationship-plus,"The added values ​​(specific to our systems) which extend the CodeSystem provided by HL7","ValueSet/fmh-relationship"
http://fhir.cqgc.ferlab.bio/CodeSystem/genome-build,0.1.0,draft,,genome-build,Genome build,"Genome build","ValueSet/genome-build"
http://fhir.cqgc.ferlab.bio/CodeSystem/observation-code,0.1.0,draft,,observation-code,Observation codes,"Codes of observations in our system","ValueSet/mitn-default-exam,ValueSet/observation-code,ValueSet/mmg-default-exam"
http://fhir.cqgc.ferlab.bio/CodeSystem/organization-type-plus,0.1.0,draft,,organization-type-plus,Organization type-plus,"The added values ​​(specific to our systems) which extend the CodeSystem provided by HL7","ValueSet/organization-type"
http://fhir.cqgc.ferlab.bio/CodeSystem/qc-ethnicity,0.1.0,draft,,qc-ethnicity,Ethnicites in Quebec,"Classification of people living in Quebec in a named category of humans sharing a common history, geographic origin or nationality. The ethnic codes used to represent these concepts are based on a list provided by the genomic sequencing center","ValueSet/qc-ethnicity"
http://fhir.cqgc.ferlab.bio/CodeSystem/sequencing-request-code,0.1.0,draft,,sequencing-request-code,sequencing request codes,"Sequencing request codes","ValueSet/sequencing-request-code"
http://fhir.cqgc.ferlab.bio/CodeSystem/specimen-type,0.1.0,draft,,specimen-type,Specimen types,"Specimen types","ValueSet/specimen-type"
http://fhir.cqgc.ferlab.bio/CodeSystem/variant-type,0.1.0,draft,,variant-type,Variant types,"Variant types","ValueSet/variant-type"
http://hl7.org/fhir/CodeSystem/task-code,4.0.1,active,"2.16.840.1.113883.4.642.4.1397",TaskCode,Task Codes,"Codes indicating the type of action that is expected to be performed","ValueSet/task-code"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/clinicalimpression-status"
http://hl7.org/fhir/history-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.268",FamilyHistoryStatus,FamilyHistoryStatus,"A code that identifies the status of the family history record.","ValueSet/history-status"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent,ValueSet/task-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/task-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1241",TaskIntent,TaskIntent,"Distinguishes whether the task is a proposal, plan or full order.","ValueSet/task-intent"
http://hl7.org/fhir/task-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.791",TaskStatus,TaskStatus,"The current status of the task.","ValueSet/task-status"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/observation-codes"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/performer-role,ValueSet/investigation-sets,ValueSet/clinical-findings,ValueSet/referencerange-appliesto,ValueSet/participant-role,ValueSet/procedure-reason,ValueSet/clinicalimpression-prognosis,ValueSet/condition-code,ValueSet/observation-methods,ValueSet/body-site,ValueSet/condition-outcome,ValueSet/servicerequest-orderdetail,ValueSet/medication-as-needed-reason"
http://terminology.hl7.org/CodeSystem/contactentity-type,0.5.0,draft,"2.16.840.1.113883.4.642.1.1129",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://terminology.hl7.org/CodeSystem/data-absent-reason,0.1.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/history-absent-reason,0.1.0,draft,"2.16.840.1.113883.4.642.1.1094",FamilyHistoryAbsentReason,FamilyHistoryAbsentReason,"Codes describing the reason why a family member's history is not available.","ValueSet/history-absent-reason"
http://terminology.hl7.org/CodeSystem/organization-type,0.1.0,draft,"2.16.840.1.113883.4.642.1.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,0.1.0,draft,"2.16.840.1.113883.4.642.1.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,2.1.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,2.2.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/fmh-relationship,ValueSet/v3-FamilyMember,ValueSet/v3-ServiceDeliveryLocationRoleType"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
